المحافظة,القطاع,رأس_المال_المطلوب_بالألف,مؤشر_المخاطرة,القرار_الاستثماري
الحسكة,تصنيع غذائي,99.4,0.19,فرصة واعدة
طرطوس,تصنيع غذائي,237.2,0.19,فرصة واعدة
اللاذقية,طاقة متجددة,513.4,0.38,فرصة واعدة
القنيطرة,تجارة إلكترونية,35.3,0.33,فرصة واعدة
ريف دمشق,زراعة حديثة,38.6,0.25,استثمار متوسط
حمص,صناعة هندسية,892.0,0.53,فرصة واعدة
حماة,طاقة متجددة,401.0,0.58,فرصة واعدة
السويداء,تجارة إلكترونية,10.6,0.27,مخاطرة عالية
القنيطرة,طاقة متجددة,517.0,0.14,فرصة واعدة
إدلب,طاقة متجددة,319.6,0.28,فرصة واعدة
دمشق,تصنيع غذائي,65.4,0.61,مخاطرة عالية
القنيطرة,زراعة حديثة,93.2,0.37,فرصة واعدة
حماة,خدمات تقنية,10.0,0.51,استثمار متوسط
اللاذقية,طاقة متجددة,365.3,0.63,فرصة واعدة
السويداء,زراعة حديثة,69.2,0.59,استثمار متوسط
السويداء,زراعة حديثة,67.3,0.49,فرصة واعدة
حماة,تجارة إلكترونية,19.2,0.31,فرصة واعدة
حلب,زراعة حديثة,48.4,0.45,مخاطرة عالية
حماة,تصنيع غذائي,187.7,0.15,فرصة واعدة
دمشق,طاقة متجددة,243.6,0.45,استثمار متوسط
إدلب,صناعة هندسية,603.3,0.23,فرصة واعدة
دمشق,تجارة إلكترونية,11.7,0.52,مخاطرة عالية
الرقة,صناعة هندسية,1141.1,0.26,فرصة واعدة
درعا,تصنيع غذائي,74.6,0.15,استثمار متوسط
حماة,زراعة حديثة,100.6,0.23,فرصة واعدة
اللاذقية,صناعة هندسية,1091.9,0.21,فرصة واعدة
درعا,تجارة إلكترونية,8.0,0.57,مخاطرة عالية
دير الزور,صناعة هندسية,933.0,0.45,فرصة واعدة
الحسكة,تجارة إلكترونية,39.5,0.69,فرصة واعدة
دمشق,خدمات تقنية,12.2,0.67,استثمار متوسط
السويداء,تجارة إلكترونية,41.3,0.38,فرصة واعدة
حماة,صناعة هندسية,992.4,0.46,فرصة واعدة
ريف دمشق,طاقة متجددة,588.9,0.66,فرصة واعدة
إدلب,تصنيع غذائي,281.9,0.45,فرصة واعدة
القنيطرة,طاقة متجددة,211.8,0.68,استثمار متوسط
حماة,تصنيع غذائي,87.3,0.1,استثمار متوسط
الرقة,طاقة متجددة,541.4,0.21,فرصة واعدة
السويداء,زراعة حديثة,141.3,0.38,فرصة واعدة
حمص,طاقة متجددة,320.2,0.68,فرصة واعدة
دمشق,تجارة إلكترونية,13.9,0.25,مخاطرة عالية
حمص,زراعة حديثة,27.4,0.37,مخاطرة عالية
دمشق,خدمات تقنية,20.8,0.26,فرصة واعدة
دير الزور,صناعة هندسية,875.8,0.68,فرصة واعدة
حلب,صناعة هندسية,1145.8,0.17,فرصة واعدة
الحسكة,صناعة هندسية,818.1,0.23,فرصة واعدة
حمص,تصنيع غذائي,81.1,0.65,مخاطرة عالية
الرقة,تجارة إلكترونية,9.8,0.3,مخاطرة عالية
إدلب,صناعة هندسية,190.9,0.22,مخاطرة عالية
درعا,زراعة حديثة,94.1,0.23,فرصة واعدة
ريف دمشق,تجارة إلكترونية,39.5,0.22,فرصة واعدة
ريف دمشق,طاقة متجددة,147.7,0.24,استثمار متوسط
السويداء,خدمات تقنية,12.7,0.64,استثمار متوسط
القنيطرة,طاقة متجددة,129.2,0.59,مخاطرة عالية
